| Character   |   Char count |   Bit number |
| ঘ           |            4 |           24 |
| ദ           |            4 |           24 |
| 蝙          |            4 |           24 |
| 襪          |            4 |           24 |
| 묵          |            4 |           24 |
| 棕          |            4 |           24 |
| 켓          |            4 |           24 |
| 碑          |            4 |           24 |
| 賭          |            4 |           24 |
| ែ            |            4 |           24 |
| ಖ           |            4 |           24 |
| ᕋ           |            4 |           24 |
| 蔥          |            4 |           24 |
| ኬ           |            4 |           24 |
| ፑ           |            4 |           24 |
| 很          |            4 |           24 |
| Ѭ           |            4 |           16 |
| Ѵ           |            4 |           16 |
| Ѥ           |            4 |           16 |
| ҭ           |            4 |           16 |
| ӑ           |            4 |           16 |
| җ           |            4 |           16 |
| ҹ           |            4 |           16 |
| 辅          |            4 |           24 |
| 隧          |            4 |           24 |
| 徴          |            4 |           24 |
| 聰          |            4 |           24 |
| 淝          |            4 |           24 |
| 捌          |            4 |           24 |
| 垓          |            4 |           24 |
| 秭          |            4 |           24 |
| 釐          |            4 |           24 |
| ແ           |            4 |           24 |
| 卯          |            4 |           24 |
| 釈          |            4 |           24 |
| 蠕          |            4 |           24 |
| 饺          |            4 |           24 |
| 鴿          |            4 |           24 |
| 큰          |            4 |           24 |
| 漿          |            4 |           24 |
| 쯔          |            4 |           24 |
| 갑          |            4 |           24 |
| 蜡          |            4 |           24 |
| 呢          |            4 |           24 |
| 呀          |            4 |           24 |
| 哎          |            4 |           24 |
| 饭          |            4 |           24 |
| 託          |            4 |           24 |
| ើ            |            4 |           24 |
| ូ            |            4 |           24 |
| គ           |            4 |           24 |
| ំ            |            4 |           24 |
| ់            |            4 |           24 |
| ច           |            4 |           24 |
| 것          |            4 |           24 |
| 뇨          |            4 |           24 |
| 潔          |            4 |           24 |
| 瑤          |            4 |           24 |
| 젓          |            4 |           24 |
| 纤          |            4 |           24 |
| 넌          |            4 |           24 |
| 출          |            4 |           24 |
| 귤          |            4 |           24 |
| 鞘          |            4 |           24 |
| 摄          |            4 |           24 |
| Ὤ           |            4 |           24 |
| 련          |            4 |           24 |
| 剰          |            4 |           24 |
| 험          |            4 |           24 |
| 括          |            4 |           24 |
| 瑙          |            4 |           24 |
| 饮          |            4 |           24 |
| 엥          |            4 |           24 |
| Ⅾ           |            4 |           24 |
| Ϝ           |            4 |           16 |
| 털          |            4 |           24 |
| 讀          |            4 |           24 |
| ˙           |            4 |           16 |
| ˛           |            4 |           16 |
| ゛          |            4 |           24 |
| 診          |            4 |           24 |
| 坏          |            4 |           24 |
| 飄          |            4 |           24 |
| 객          |            4 |           24 |
| 驱          |            4 |           24 |
| 既          |            4 |           24 |
| ऌ           |            4 |           24 |
| ॢ            |            4 |           24 |
| ॡ           |            4 |           24 |
| ७           |            4 |           24 |
| 纬          |            4 |           24 |
| ૃ            |            4 |           24 |
| 楕          |            4 |           24 |
| ሬ           |            4 |           24 |
| 긴          |            4 |           24 |
| 낱          |            4 |           24 |
| 鹃          |            4 |           24 |
| း            |            4 |           24 |
| စ           |            4 |           24 |
| ﾀ           |            4 |           24 |
| 熵          |            4 |           24 |
| 搖          |            4 |           24 |
| 帜          |            4 |           24 |
| 빠          |            4 |           24 |
| ∆           |            4 |           24 |
| ܦ           |            4 |           16 |
| 孚          |            4 |           24 |
| 隈          |            4 |           24 |
| 𐌻           |            4 |           32 |
| 储          |            4 |           24 |
| 쉬          |            4 |           24 |
| 捜          |            4 |           24 |
| 狸          |            4 |           24 |
| 胖          |            4 |           24 |
| 贤          |            4 |           24 |
| ጀ           |            4 |           24 |
| ἅ           |            4 |           24 |
| 萧          |            4 |           24 |
| ሽ           |            4 |           24 |
| 놀          |            4 |           24 |
| ஃ           |            4 |           24 |
| ㄡ          |            4 |           24 |
| 暨          |            4 |           24 |
| ஓ           |            4 |           24 |
| 欠          |            4 |           24 |
| 膏          |            4 |           24 |
| 甸          |            4 |           24 |
| 蛙          |            4 |           24 |
| ઈ           |            4 |           24 |
| ŀ           |            4 |           16 |
| 취          |            4 |           24 |
| ḡ           |            4 |           24 |
| 슐          |            4 |           24 |
| ނ           |            4 |           16 |
| 힌          |            4 |           24 |
| 胚          |            4 |           24 |
| ♫           |            4 |           24 |
| 陷          |            4 |           24 |
| ㆁ          |            4 |           24 |
| ᇢ           |            4 |           24 |
| 齒          |            4 |           24 |
| 귿          |            4 |           24 |
| 읗          |            4 |           24 |
| 받          |            4 |           24 |
| ഇ           |            4 |           24 |
| Ấ           |            4 |           24 |
| ኅ           |            4 |           24 |
| ጽ           |            4 |           24 |
| 𐌴           |            4 |           32 |
| ʛ           |            4 |           16 |
| ƥ           |            4 |           16 |
| ƈ           |            4 |           16 |
| ˣ           |            4 |           16 |
| ˨           |            4 |           16 |
| ₍           |            4 |           24 |
| ₎           |            4 |           24 |
| ⊇           |            4 |           24 |
| 姦          |            4 |           24 |
| 帮          |            4 |           24 |
| ฃ           |            4 |           24 |
| ฅ           |            4 |           24 |
| ẁ           |            4 |           24 |
| Ĺ           |            4 |           16 |
| ฦ           |            4 |           24 |
| Ň           |            4 |           16 |
| Ũ           |            4 |           16 |
| Ŷ           |            4 |           16 |
| ฿           |            4 |           24 |
| ๅ           |            4 |           24 |
| ๐           |            4 |           24 |
| ☺           |            4 |           24 |
| 渉          |            4 |           24 |
| 嬰          |            4 |           24 |
| ૨           |            4 |           24 |
| ૩           |            4 |           24 |
| 專          |            4 |           24 |
| 퀸          |            4 |           24 |
| 옌          |            4 |           24 |
| 賈          |            4 |           24 |
| 렘          |            4 |           24 |
| 든          |            4 |           24 |
| 躍          |            4 |           24 |
| 었          |            4 |           24 |
| 꽃          |            4 |           24 |
| 쑤          |            4 |           24 |
| 援          |            4 |           24 |
| 蹴          |            4 |           24 |
| ヷ          |            4 |           24 |
| ヸ          |            4 |           24 |
| ヹ          |            4 |           24 |
| ヺ          |            4 |           24 |
| ｧ           |            4 |           24 |
| ﾌ           |            4 |           24 |
| ﾓ           |            4 |           24 |
| ﾗ           |            4 |           24 |
| ﾛ           |            4 |           24 |
| 駄          |            4 |           24 |
| 伎          |            4 |           24 |
| 캥          |            4 |           24 |
| 캄          |            4 |           24 |
| 鉛          |            4 |           24 |
| 铅          |            4 |           24 |
| 嫩          |            4 |           24 |
| 黛          |            4 |           24 |
| 矶          |            4 |           24 |
| Ȝ           |            4 |           16 |
| ỷ           |            4 |           24 |
| 럿          |            4 |           24 |
| 轻          |            4 |           24 |
| ṓ           |            4 |           24 |
| ຫ           |            4 |           24 |
| ވ           |            4 |           16 |
| ሮ           |            4 |           24 |
| ኮ           |            4 |           24 |
| 莲          |            4 |           24 |
| ګ           |            4 |           16 |
| ဴ            |            4 |           24 |
| 伟          |            4 |           24 |
| 餘          |            4 |           24 |
| 馳          |            4 |           24 |
| 礎          |            4 |           24 |
| 氓          |            4 |           24 |
| ᓄ           |            4 |           24 |
| 傍          |            4 |           24 |
| ܥ           |            4 |           16 |
| 쇄          |            4 |           24 |
| 鷲          |            4 |           24 |
| 覇          |            4 |           24 |
| ὦ           |            4 |           24 |
| ὼ           |            4 |           24 |
| 鸦          |            4 |           24 |
| 钾          |            4 |           24 |
| 嵇          |            4 |           24 |
| 暫          |            4 |           24 |
| 铃          |            4 |           24 |
| 旬          |            4 |           24 |
| ẑ           |            4 |           24 |
| Ⅱ           |            4 |           24 |
| 脏          |            4 |           24 |
| 污          |            4 |           24 |
| 睇          |            4 |           24 |
| 虜          |            4 |           24 |
| ۔           |            4 |           16 |
| ཕ           |            4 |           24 |
| Ϙ           |            4 |           16 |
| 帽          |            4 |           24 |
| Ꮉ           |            4 |           24 |
| ⊗           |            4 |           24 |
| 抵          |            4 |           24 |
| 阻          |            4 |           24 |
| థ           |            4 |           24 |
| ઞ           |            4 |           24 |
| ፀ           |            4 |           24 |
| 钠          |            4 |           24 |
| 硅          |            4 |           24 |
| 탠          |            4 |           24 |
| Ꮅ           |            4 |           24 |
| 靴          |            4 |           24 |
| 叙          |            4 |           24 |
| ⊂           |            4 |           24 |
| 詰          |            4 |           24 |
| 柄          |            4 |           24 |
| 锅          |            4 |           24 |
| 譯          |            4 |           24 |
| 袭          |            4 |           24 |
| 握          |            4 |           24 |
| 胱          |            4 |           24 |
| 腿          |            4 |           24 |
| ྤ            |            4 |           24 |
| 盒          |            4 |           24 |
| 披          |            4 |           24 |
| 茎          |            4 |           24 |
| 튀          |            4 |           24 |
| 滇          |            4 |           24 |
| Ꭼ           |            4 |           24 |
| 汐          |            4 |           24 |
| 釋          |            4 |           24 |
|            |            4 |           24 |
|            |            4 |           24 |
|            |            4 |           24 |
| 荳          |            4 |           24 |
| ఉ           |            4 |           24 |
| 넨          |            4 |           24 |
| 沿          |            4 |           24 |
| 雯          |            4 |           24 |
| 诸          |            4 |           24 |
| 娣          |            4 |           24 |
| 隨          |            4 |           24 |
| 傾          |            4 |           24 |
| ﻟ           |            4 |           24 |
| 薑          |            4 |           24 |
| ㄆ          |            4 |           24 |
| ㄇ          |            4 |           24 |
| ㄈ          |            4 |           24 |
| ㄌ          |            4 |           24 |
| ㄔ          |            4 |           24 |
| ㄢ          |            4 |           24 |
| 喪          |            4 |           24 |
| 稻          |            4 |           24 |
| 傘          |            4 |           24 |
| 髪          |            4 |           24 |
| 슴          |            4 |           24 |
| ొ            |            4 |           24 |
| 胃          |            4 |           24 |
| 讯          |            4 |           24 |
| ﺦ           |            4 |           24 |
| ﺗ           |            4 |           24 |
| ﯾ           |            4 |           24 |
| ﻦ           |            4 |           24 |
| 鱗          |            4 |           24 |
| ኃ           |            4 |           24 |
| 灌          |            4 |           24 |
| 脾          |            4 |           24 |
| 岬          |            4 |           24 |
| 囊          |            4 |           24 |
| 霹          |            4 |           24 |
| 靂          |            4 |           24 |
| 拱          |            4 |           24 |
| 誦          |            4 |           24 |
| 蠻          |            4 |           24 |
| 隻          |            4 |           24 |
| 担          |            4 |           24 |
| 壳          |            4 |           24 |
| 톈          |            4 |           24 |
| 或          |            4 |           24 |
| 顧          |            4 |           24 |
| 抄          |            4 |           24 |
| 崙          |            4 |           24 |
| 愉          |            4 |           24 |
| 槟          |            4 |           24 |
| 矿          |            4 |           24 |
| 樵          |            4 |           24 |
| 沁          |            4 |           24 |
| 芥          |            4 |           24 |
| 批          |            4 |           24 |
| 评          |            4 |           24 |
| 萝          |            4 |           24 |
| 櫃          |            4 |           24 |
| 侦          |            4 |           24 |
| 稱          |            4 |           24 |
| 龐          |            4 |           24 |
| Ꮣ           |            4 |           24 |
| 竿          |            4 |           24 |
| Ｇ          |            4 |           24 |
| 駕          |            4 |           24 |
| 壤          |            4 |           24 |
| Ꭷ           |            4 |           24 |
| 懼          |            4 |           24 |
| 侨          |            4 |           24 |
| 糊          |            4 |           24 |
| 覽          |            4 |           24 |
| 汚          |            4 |           24 |
| 攝          |            4 |           24 |
| 穿          |            4 |           24 |
| ព           |            4 |           24 |
| 걸          |            4 |           24 |
| Ĭ           |            4 |           16 |
| 蹟          |            4 |           24 |
| 浣          |            4 |           24 |
| 責          |            4 |           24 |
| ઝ           |            4 |           24 |
| 橙          |            4 |           24 |
| 噶          |            4 |           24 |
| 荼          |            4 |           24 |
| 鉴          |            4 |           24 |
| 养          |            4 |           24 |
| 旻          |            4 |           24 |
| 隶          |            4 |           24 |
| 購          |            4 |           24 |
| 裤          |            4 |           24 |
| 昺          |            4 |           24 |
| ຽ           |            4 |           24 |
| 勗          |            4 |           24 |
| 俶          |            4 |           24 |
| 璟          |            4 |           24 |
| 煜          |            4 |           24 |
| 晟          |            4 |           24 |
| 逵          |            4 |           24 |
| 揮          |            4 |           24 |
| 樺          |            4 |           24 |
| 釧          |            4 |           24 |
| 尘          |            4 |           24 |
| 蓄          |            4 |           24 |
| 曉          |            4 |           24 |
| ܗ           |            4 |           16 |
| 嶼          |            4 |           24 |
| 酱          |            4 |           24 |
| 鹦          |            4 |           24 |
| 鸽          |            4 |           24 |
| 谓          |            4 |           24 |
| 坝          |            4 |           24 |
| ᾳ           |            4 |           24 |
| 舎          |            4 |           24 |
| 紓          |            4 |           24 |
| 臼          |            4 |           24 |
| 譙          |            4 |           24 |
| 沮          |            4 |           24 |
| 駒          |            4 |           24 |
| 賜          |            4 |           24 |
| 邕          |            4 |           24 |
| 莒          |            4 |           24 |
| 祁          |            4 |           24 |
| ᠷ           |            4 |           24 |
| ཡ           |            4 |           24 |
| 敗          |            4 |           24 |
| 敌          |            4 |           24 |
| 沧          |            4 |           24 |
| 湄          |            4 |           24 |
| ሠ           |            4 |           24 |
| 荻          |            4 |           24 |
| 晩          |            4 |           24 |
| 鋒          |            4 |           24 |
| 沫          |            4 |           24 |
| 椅          |            4 |           24 |
| 肠          |            4 |           24 |
| 뭇          |            4 |           24 |
| ẵ           |            4 |           24 |
| 崖          |            4 |           24 |
| 岗          |            4 |           24 |
| 炊          |            4 |           24 |
| 润          |            4 |           24 |
| 専          |            4 |           24 |
| 往          |            4 |           24 |
| ኸ           |            4 |           24 |
| 舜          |            4 |           24 |
| 漏          |            4 |           24 |
| 槻          |            4 |           24 |
| 楓          |            4 |           24 |
| 霖          |            4 |           24 |
| 鹊          |            4 |           24 |
| 涙          |            4 |           24 |
| 匂          |            4 |           24 |
| 룽          |            4 |           24 |
| 壱          |            4 |           24 |
| 踊          |            4 |           24 |
| 从          |            4 |           24 |
| 俑          |            4 |           24 |
| 獵          |            4 |           24 |
| 讃          |            4 |           24 |
| ９          |            4 |           24 |
| 蒡          |            4 |           24 |
| ൌ            |            4 |           24 |
| 떼          |            4 |           24 |
| 늘          |            4 |           24 |
| 輛          |            4 |           24 |
| 眞          |            4 |           24 |
| 贏          |            4 |           24 |
| 빗          |            4 |           24 |
| 沼          |            4 |           24 |
| 廻          |            4 |           24 |
| 睦          |            4 |           24 |
| 鞍          |            4 |           24 |
| 辆          |            4 |           24 |
| 聡          |            4 |           24 |
| 鞏          |            4 |           24 |
| 騷          |            4 |           24 |
| ȍ           |            4 |           16 |
| 嘗          |            4 |           24 |
| ຮ           |            4 |           24 |
| 菅          |            4 |           24 |
| 些          |            4 |           24 |
| 勐          |            4 |           24 |
| 箕          |            4 |           24 |
| 潭          |            4 |           24 |
| 鬚          |            4 |           24 |
| 妾          |            4 |           24 |
| 兗          |            4 |           24 |
| ཅ           |            4 |           24 |
| ྀ            |            4 |           24 |
| 恨          |            4 |           24 |
| 郃          |            4 |           24 |
| 萌          |            4 |           24 |
| 盡          |            4 |           24 |
| 淺          |            4 |           24 |
| 瑠          |            4 |           24 |
| 갸          |            4 |           24 |
| 泱          |            4 |           24 |
| 臥          |            3 |           24 |
| 摆          |            3 |           24 |
| 錬          |            3 |           24 |
| ډ           |            3 |           16 |
| ̅            |            3 |           16 |
| ᕈ           |            3 |           24 |
| ᓪ           |            3 |           24 |
| એ           |            3 |           24 |
| ိ            |            3 |           24 |
| 輻          |            3 |           24 |
| ઍ           |            3 |           24 |
| Կ           |            3 |           16 |
| Շ           |            3 |           16 |
| 堕          |            3 |           24 |
| 启          |            3 |           24 |
| 苹          |            3 |           24 |
| ሁ           |            3 |           24 |
| 搞          |            3 |           24 |
| ᒥ           |            3 |           24 |
| ᾷ           |            3 |           24 |
| ὃ           |            3 |           24 |
| Ἱ           |            3 |           24 |
| 跃          |            3 |           24 |
| 鶏          |            3 |           24 |
| 苷          |            3 |           24 |
| ̶            |            3 |           16 |
| ̸            |            3 |           16 |
| 饰          |            3 |           24 |
| Ɓ           |            3 |           16 |
| Ɖ           |            3 |           16 |
| Ɣ           |            3 |           16 |
| Ʃ           |            3 |           16 |
| 펌          |            3 |           24 |
| ﻋ           |            3 |           24 |
| 劫          |            3 |           24 |
| ﻫ           |            3 |           24 |
| ﺡ           |            3 |           24 |
| ﻙ           |            3 |           24 |
| ﺹ           |            3 |           24 |
| ﻑ           |            3 |           24 |
| ﻕ           |            3 |           24 |
| ﺱ           |            3 |           24 |
| ﺵ           |            3 |           24 |
| ﻯ           |            3 |           24 |
| ﻳ           |            3 |           24 |
| ٍ            |            3 |           16 |
| ٢           |            3 |           16 |
| օ           |            3 |           16 |
| 飽          |            3 |           24 |
| 紧          |            3 |           24 |
| 疗          |            3 |           24 |
| Դ           |            3 |           16 |
| Է           |            3 |           16 |
| Ն           |            3 |           16 |
| Չ           |            3 |           16 |
| Ռ           |            3 |           16 |
| ՚           |            3 |           16 |
| 黏          |            3 |           24 |
| ᐆ           |            3 |           24 |
| ᒪ           |            3 |           24 |
| Ꮖ           |            3 |           24 |
| ፋ           |            3 |           24 |
| 벽          |            3 |           24 |
| ੜ           |            3 |           24 |
| 塁          |            3 |           24 |
| 觸          |            3 |           24 |
| 淀          |            3 |           24 |
| 宽          |            3 |           24 |
| 虛          |            3 |           24 |
| 腳          |            3 |           24 |
| 례          |            3 |           24 |
| 吞          |            3 |           24 |
| 훔          |            3 |           24 |
| 깨          |            3 |           24 |
| ৈ            |            3 |           24 |
| 匯          |            3 |           24 |
| 締          |            3 |           24 |
| 訟          |            3 |           24 |
| 祷          |            3 |           24 |
| 墜          |            3 |           24 |
| 밸          |            3 |           24 |
| 척          |            3 |           24 |
| ∫           |            3 |           24 |
| ភ           |            3 |           24 |
| ပ           |            3 |           24 |
| 錐          |            3 |           24 |
| 돔          |            3 |           24 |
| 팽          |            3 |           24 |
| 檢          |            3 |           24 |
| ፕ           |            3 |           24 |
| ዴ           |            3 |           24 |
| ቻ           |            3 |           24 |
| Ҁ           |            3 |           16 |
| Ѹ           |            3 |           16 |
| Ѡ           |            3 |           16 |
| Ѩ           |            3 |           16 |
| Ѯ           |            3 |           16 |
| Ѱ           |            3 |           16 |
| Ѿ           |            3 |           16 |
| Ҕ           |            3 |           16 |
| ҕ           |            3 |           16 |
| Ӡ           |            3 |           16 |
| ӡ           |            3 |           16 |
| Ҟ           |            3 |           16 |
| ҟ           |            3 |           16 |
| Ҭ           |            3 |           16 |
| Ҵ           |            3 |           16 |
| ҵ           |            3 |           16 |
| Ҷ           |            3 |           16 |
| ҡ           |            3 |           16 |
| Ҫ           |            3 |           16 |
| ҫ           |            3 |           16 |
| Ӑ           |            3 |           16 |
| Ӗ           |            3 |           16 |
| ӗ           |            3 |           16 |
| Җ           |            3 |           16 |
| ѧ           |            3 |           16 |
| Ӂ           |            3 |           16 |
| ӂ           |            3 |           16 |
| Ӕ           |            3 |           16 |
| ӥ           |            3 |           16 |
| ৌ            |            3 |           24 |
| ℃           |            3 |           24 |
| 赣          |            3 |           24 |
| 罵          |            3 |           24 |
| 骂          |            3 |           24 |
| 甚          |            3 |           24 |
| 麼          |            3 |           24 |
| 饑          |            3 |           24 |
| 髦          |            3 |           24 |
| 隋          |            3 |           24 |
| 僖          |            3 |           24 |
| 汴          |            3 |           24 |
| 鴉          |            3 |           24 |
| 叄          |            3 |           24 |
| 卅          |            3 |           24 |
| 卌          |            3 |           24 |
| 纖          |            3 |           24 |
| 攀          |            3 |           24 |
| 煤          |            3 |           24 |
| 瀕          |            3 |           24 |
| 簧          |            3 |           24 |
| ȗ           |            3 |           16 |
| ஊ           |            3 |           24 |
| 粥          |            3 |           24 |
| 骆          |            3 |           24 |
| 壺          |            3 |           24 |
| 请          |            3 |           24 |
| ដ           |            3 |           24 |
| អ           |            3 |           24 |
| ង           |            3 |           24 |
| 겠          |            3 |           24 |
| ऽ           |            3 |           24 |
| 駐          |            3 |           24 |
| 癸          |            3 |           24 |
| Ꭹ           |            3 |           24 |
| Ᏻ           |            3 |           24 |
| 딱          |            3 |           24 |
| 섭          |            3 |           24 |
| ☧           |            3 |           24 |
| 苴          |            3 |           24 |
| Ὁ           |            3 |           24 |
| ʹ           |            3 |           16 |
| 册          |            3 |           24 |
| ʗ           |            3 |           16 |
| Ⅲ           |            3 |           24 |
| 괄          |            3 |           24 |
| 蹈          |            3 |           24 |
| 덩          |            3 |           24 |
| ˝           |            3 |           16 |
| ĸ           |            3 |           16 |
| ඣ           |            3 |           24 |
| න           |            3 |           24 |
| 又          |            3 |           24 |
| ॣ            |            3 |           24 |
| ६           |            3 |           24 |
| ॄ            |            3 |           24 |
| ॠ           |            3 |           24 |
| ፔ           |            3 |           24 |
| 椭          |            3 |           24 |
| ፅ           |            3 |           24 |
| 舉          |            3 |           24 |
| 隷          |            3 |           24 |
| ထ           |            3 |           24 |
| ｀          |            3 |           24 |
| ┐           |            3 |           24 |
| ゝ          |            3 |           24 |
| 盪          |            3 |           24 |
| 谔          |            3 |           24 |
| 绣          |            3 |           24 |
| ᾰ           |            3 |           24 |
| 峻          |            3 |           24 |
| 熈          |            3 |           24 |
| 珪          |            3 |           24 |
| 봄          |            3 |           24 |
| ઁ            |            3 |           24 |
| 隼          |            3 |           24 |
| 氟          |            3 |           24 |
| 뮬          |            3 |           24 |
| 檔          |            3 |           24 |
| 섯          |            3 |           24 |
| 雌          |            3 |           24 |
| 筝          |            3 |           24 |
| Ꮷ           |            3 |           24 |
| ቅ           |            3 |           24 |
| ຍ           |            3 |           24 |
| 𐌺           |            3 |           32 |
| ƀ           |            3 |           16 |
| 弈          |            3 |           24 |
| ἳ           |            3 |           24 |
| Ἂ           |            3 |           24 |
| ጆ           |            3 |           24 |
| ጅ           |            3 |           24 |
| 塗          |            3 |           24 |
| 嘌          |            3 |           24 |
| 呤          |            3 |           24 |
| ㄍ          |            3 |           24 |
| 恺          |            3 |           24 |
| ഉ           |            3 |           24 |
| 颈          |            3 |           24 |
| 叟          |            3 |           24 |
| 纺          |            3 |           24 |
| 盎          |            3 |           24 |
| 믈          |            3 |           24 |
| 빙          |            3 |           24 |
| 庶          |            3 |           24 |
| Ḩ           |            3 |           24 |
| 纯          |            3 |           24 |
| 耕          |            3 |           24 |
| 栽          |            3 |           24 |
| 缺          |            3 |           24 |
| ƴ           |            3 |           16 |
| 랏          |            3 |           24 |
| ㅵ          |            3 |           24 |
| ㆋ          |            3 |           24 |
| ᇰ           |            3 |           24 |
| 丶          |            3 |           24 |
| 옛          |            3 |           24 |
| ᔪ           |            3 |           24 |
| 涵          |            3 |           24 |
| 屿          |            3 |           24 |
| 엠          |            3 |           24 |
| ₪           |            3 |           24 |
| ʠ           |            3 |           16 |
| ᵊ           |            3 |           24 |
| ̘            |            3 |           16 |
| ̙            |            3 |           16 |
| ͆            |            3 |           16 |
| ɷ           |            3 |           16 |
| ɞ           |            3 |           16 |
| 址          |            3 |           24 |
| 且          |            3 |           24 |
| ḃ           |            3 |           24 |
| Ĩ           |            3 |           16 |
| Ŧ           |            3 |           16 |
| ḋ           |            3 |           24 |
| Ŵ           |            3 |           16 |
| ๓           |            3 |           24 |
| ๖           |            3 |           24 |
| ๗           |            3 |           24 |
| ๙           |            3 |           24 |
| ☻           |            3 |           24 |
| 涉          |            3 |           24 |
| 繪          |            3 |           24 |
| 辭          |            3 |           24 |
| ૪           |            3 |           24 |
| ૫           |            3 |           24 |
| ૬           |            3 |           24 |
| ૭           |            3 |           24 |
| ૮           |            3 |           24 |
| ൦           |            3 |           24 |
| ൧           |            3 |           24 |
| ൨           |            3 |           24 |
| ൩           |            3 |           24 |
| ൫           |            3 |           24 |
| ൬           |            3 |           24 |
| ൭           |            3 |           24 |
| ൮           |            3 |           24 |
| ൯           |            3 |           24 |
| 浆          |            3 |           24 |
| 涡          |            3 |           24 |
| 樞          |            3 |           24 |
| 膳          |            3 |           24 |
| 뷰          |            3 |           24 |
| 喷          |            3 |           24 |
| 箏          |            3 |           24 |
| 繡          |            3 |           24 |
| 퐁          |            3 |           24 |
| 렇          |            3 |           24 |
| 넓          |            3 |           24 |
| 읽          |            3 |           24 |
| ｭ           |            3 |           24 |
| ｰ           |            3 |           24 |
| ｲ           |            3 |           24 |
| ｴ           |            3 |           24 |
| ｸ           |            3 |           24 |
| ｼ           |            3 |           24 |
| ﾃ           |            3 |           24 |
| ﾄ           |            3 |           24 |
| ﾇ           |            3 |           24 |
| ﾋ           |            3 |           24 |
| ﾍ           |            3 |           24 |
| ﾎ           |            3 |           24 |
| ﾑ           |            3 |           24 |
| ﾘ           |            3 |           24 |
| ﾙ           |            3 |           24 |
| ﾚ           |            3 |           24 |
| ﾜ           |            3 |           24 |
| ﾝ           |            3 |           24 |
| ㇷ          |            3 |           24 |
| 蕨          |            3 |           24 |
| ۂ           |            3 |           16 |
| 梓          |            3 |           24 |
| 虏          |            3 |           24 |
| 톡          |            3 |           24 |
| 鲤          |            3 |           24 |
| ዥ           |            3 |           24 |
| 锂          |            3 |           24 |
| 률          |            3 |           24 |
| 薰          |            3 |           24 |
| 꿀          |            3 |           24 |
| 閏          |            3 |           24 |
| 墙          |            3 |           24 |
| 좀          |            3 |           24 |
| 稠          |            3 |           24 |
| ƿ           |            3 |           16 |
| ỵ           |            3 |           24 |
| 访          |            3 |           24 |
| 垄          |            3 |           24 |
| 镁          |            3 |           24 |
| ᔨ           |            3 |           24 |
| 礦          |            3 |           24 |
| 뮌          |            3 |           24 |
| 疏          |            3 |           24 |
| 貶          |            3 |           24 |
| ℳ           |            3 |           24 |
| 途          |            3 |           24 |
| 缅          |            3 |           24 |
| 莞          |            3 |           24 |
| ੴ           |            3 |           24 |
| ੍            |            3 |           24 |
| 确          |            3 |           24 |
| ሙ           |            3 |           24 |
| 淫          |            3 |           24 |
| 販          |            3 |           24 |
| 蛾          |            3 |           24 |
| ޭ            |            3 |           16 |
| 釘          |            3 |           24 |
| ሚ           |            3 |           24 |
| Ｐ          |            3 |           24 |
| 寵          |            3 |           24 |
| 딜          |            3 |           24 |
| 宥          |            3 |           24 |
| ഓ           |            3 |           24 |
| 促          |            3 |           24 |
| ઑ           |            3 |           24 |
| 俾          |            3 |           24 |
| ഒ           |            3 |           24 |
| ૌ            |            3 |           24 |
| 劭          |            3 |           24 |
| 霉          |            3 |           24 |
| 薯          |            3 |           24 |
| 爐          |            3 |           24 |
| 斌          |            3 |           24 |
| 锁          |            3 |           24 |
| 啶          |            3 |           24 |
| ͘            |            3 |           16 |
| 逗          |            3 |           24 |
| 吡          |            3 |           24 |
| 肽          |            3 |           24 |
| 犁          |            3 |           24 |
| 콥          |            3 |           24 |
| 凹          |            3 |           24 |
| 褒          |            3 |           24 |
| 饼          |            3 |           24 |
| 辦          |            3 |           24 |
| 旁          |            3 |           24 |
| 遮          |            3 |           24 |
| 猪          |            3 |           24 |
| 吏          |            3 |           24 |
| 递          |            3 |           24 |
| 爬          |            3 |           24 |
|              |            3 |           16 |
| Ⅻ           |            3 |           24 |
| 붉          |            3 |           24 |
| 款          |            3 |           24 |
| 澎          |            3 |           24 |
| 奸          |            3 |           24 |
| 踪          |            3 |           24 |
| 弧          |            3 |           24 |
| 齿          |            3 |           24 |
| 秩          |            3 |           24 |
| ක           |            3 |           24 |
| ۆ           |            3 |           16 |
| 淘          |            3 |           24 |
| 킴          |            3 |           24 |
| 舶          |            3 |           24 |
| 蔚          |            3 |           24 |
| 릉          |            3 |           24 |
| 泗          |            3 |           24 |
| ǩ           |            3 |           16 |
| ℈           |            3 |           24 |
| ኔ           |            3 |           24 |
| 샌          |            3 |           24 |
| 撮          |            3 |           24 |
| 繆          |            3 |           24 |
| 闵          |            3 |           24 |
| 끈          |            3 |           24 |
| ഭ           |            3 |           24 |
| 밝          |            3 |           24 |
| 鮨          |            3 |           24 |
| 圾          |            3 |           24 |
| 吟          |            3 |           24 |
| 損          |            3 |           24 |
| 郊          |            3 |           24 |
| 姊          |            3 |           24 |
| 埋          |            3 |           24 |
| 鏈          |            3 |           24 |
| 噴          |            3 |           24 |
| ♉          |            3 |           24 |
| 佬          |            3 |           24 |
| 俵          |            3 |           24 |
| 棺          |            3 |           24 |
| 柾          |            3 |           24 |
| 魎          |            3 |           24 |
| 滲          |            3 |           24 |
| 颱          |            3 |           24 |
|            |            3 |           24 |
|            |            3 |           24 |
|            |            3 |           24 |
|            |            3 |           24 |
